candidate_id,name,party,state,incumbent_challenge_full,candidate_election_year,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,percent_vote,win,num_terms
H0AL07060,"DAVIS, ARTUR  G",DEM,AL,Incumbent,2008,1692711.71,820472.53,1130840.43,4459.38,0.9862624675767476,1.0,5
H0CA15148,"HONDA, MIKE",DEM,CA,Incumbent,2008,1001004.95,833898.99,282632.04,0.0,0.7166172790866302,1.0,7
H0CA27085,"SCHIFF, ADAM",DEM,CA,Incumbent,2008,1190025.1,913801.54,1652829.27,0.0,0.6891451089825779,1.0,10
H0CA31087,"SOLIS, HILDA",DEM,CA,Incumbent,2008,800768.08,659987.28,284347.5,2627.5,0.9999385324625433,1.0,4
H0CA48024,"ISSA, DARRELL EDWARD",REP,CA,Incumbent,2008,1035317.34,950635.61,122963.44,0.0,0.582955914738023,1.0,9
H0CA49055,"DAVIS, SUSAN A",DEM,CA,Incumbent,2008,591720.08,455086.37,571414.39,0.0,0.6848672423601736,1.0,10
H0CA52018,"BENOIT, MICHAEL",LIB,CA,Open seat,2008,0.0,0.0,0.0,0.0,0.04670019429188674,0.0,6
H0CT03072,"DELAURO, ROSA",DEM,CT,Incumbent,2008,1151852.53,1098934.63,69042.37,0.0,0.6885777891366925,1.0,15
H0FL04066,"CRENSHAW, ANDER HON.",REP,FL,Incumbent,2008,681607.47,613600.66,662399.38,0.0,0.652546863808154,1.0,8
H0FL08042,"KELLER, RICHARD A.",REP,FL,Incumbent,2008,1619413.18,1774997.68,4008.03,0.0,0.4798943263606384,0.0,5
H0FL12010,"SHAW, E CLAY JR",REP,FL,Challenger,2008,62913.19,102491.08,5301.22,0.0,0.652546863808154,1.0,14
H0FL12051,"PUTNAM, ADAM HUGHES",REP,FL,Incumbent,2008,1843692.41,2054576.72,255516.73,0.0,0.5746264269114967,1.0,5
H0FL18025,"ROS-LEHTINEN, ILEANA",REP,FL,Incumbent,2008,1834655.62,2838982.04,270090.27,0.0,0.5786969780525044,1.0,14
H0GA04023,"LINDER, JOHN",REP,GA,Incumbent,2008,581981.99,375545.66,726602.1,0.0,0.9991099005758943,1.0,10
H0GA08032,"MARSHALL, JIM",DEM,GA,Incumbent,2008,1816867.44,1736545.88,339533.43,5500.0,0.5724369919217145,1.0,5
H0IL10120,"KIRK, MARK STEVEN",REP,IL,Incumbent,2008,5456608.94,5449412.09,79868.36,0.0,0.5255889966970865,1.0,4
H0IL15053,"JOHNSON, TIM",REP,IL,Incumbent,2008,321393.02,295922.9,109779.55,5206.74,0.6418936997880034,1.0,6
H0IL16085,"MANZULLO, DONALD A.",REP,IL,Incumbent,2008,1352580.65,1346248.76,182747.85,0.0,0.60867016847095,1.0,10
H0KS01081,"WARNER, JACK",LIB,KS,Challenger,2008,0.0,0.0,0.0,0.0,0.021226820136856124,0.0,4
H0KY05015,"ROGERS, HAROLD DALLAS",REP,KY,Incumbent,2008,611930.57,796764.84,911460.33,0.0,0.8410969838645305,1.0,20
H0LA01087,"SCALISE, STEVE MR.",REP,LA,Challenger,2008,1825911.23,1928277.22,12440.75,195463.39,0.6568173690222807,1.0,9
H0LA02119,"JEFFERSON, WILLIAM J.",DEM,LA,Incumbent,2008,350866.19,342245.09,1164.5,238913.66,0.46825752818396577,0.0,8
H0MA04036,"FRANK, BARNEY",DEM,MA,Incumbent,2008,2297682.26,2953744.83,173441.3,0.0,0.6430476287001083,1.0,16
H0MI02086,"GRAESER, RONALD E.",OTH,MI,Challenger,2008,0.0,0.0,0.0,0.0,0.012233876769906993,0.0,9
H0MI04082,"EMERICK, JOHN",OTH,MI,Challenger,2008,0.0,0.0,0.0,0.0,0.01600890160176401,0.0,3
H0MI08042,"ROGERS, MICHAEL J",REP,MI,Incumbent,2008,1384979.25,1565892.46,171630.44,0.0,0.5652766677636218,1.0,7
H0MI10071,"CAMP, DAVID LEE",REP,MI,Incumbent,2008,2237730.57,2568147.35,572650.17,0.0,0.6194096384080736,1.0,12
H0MN04049,"MCCOLLUM, BETTY",DEM,MN,Incumbent,2008,722058.67,719714.2,77255.58,0.0,0.6843502585295774,1.0,10
H0MN07034,"MENZE, GLEN R",REP,MN,Challenger,2008,12875.0,13401.0,0.0,0.0,0.2766683615101055,0.0,2
H0MO00019,"CARNAHAN, RUSS",DEM,MO,Incumbent,2008,962396.69,883236.62,165653.97,0.0,0.6636815692084793,1.0,5
H0MO01066,"CLAY, WILLIAM LACY JR",DEM,MO,Incumbent,2008,674855.16,622533.12,185952.55,0.0,0.8685641853786742,1.0,10
H0MO02148,"AKIN, W TODD",REP,MO,Incumbent,2008,966372.9,838992.0,589993.63,0.0,0.6227706101262294,1.0,6
H0MO06073,"GRAVES, SAMUEL B ""SAM""",REP,MO,Incumbent,2008,2670494.35,2634630.05,44443.18,186323.42,0.594274551782739,1.0,10
H0MT00033,"REHBERG, DENNIS R",REP,MT,Incumbent,2008,1164175.97,897192.36,565049.19,0.0,0.6414431274693283,1.0,6
H0NJ01066,"ANDREWS, ROBERT E",DEM,NJ,Incumbent,2008,1618561.39,3502682.61,269215.71,0.0,0.7239976574308188,1.0,12
H0NJ02098,"ROZZO, COSTANTINO",SOC,NJ,Challenger,2008,0.0,0.0,0.0,0.0,0.002281971369711056,0.0,4
H0NJ10026,"PAYNE, DONALD M",DEM,NJ,Incumbent,2008,804188.18,502616.83,1089209.72,0.0,0.9892428678700529,1.0,14
H0NV01078,"PORTER, JON C SR",REP,NV,Incumbent,2008,3100870.19,3182803.92,26133.96,4500.0,0.4229128789178187,0.0,4
H0NY02085,"ISRAEL, STEVE",DEM,NY,Incumbent,2008,2144801.95,1436885.52,1711642.73,0.0,0.019044069060165026,0.0,8
H0NY11060,"GORE, CARTRELL",CRV,NY,Challenger,2008,0.0,0.0,0.0,0.0,0.006567440732851923,0.0,1
H0NY18065,"SERRANO, JOSE E",DEM,NY,Incumbent,2008,410513.31,386738.89,26603.88,0.0,0.022814293889639466,0.0,15
H0NY25037,"HAWKINS, HOWIE",GRE,NY,Open seat,2008,8485.0,6132.0,2353.0,2685.0,0.029433856850207957,0.0,2
H0OH08029,"BOEHNER, JOHN A",REP,OH,Incumbent,2008,5161991.51,5345278.99,206305.34,0.0,0.6790367405645001,1.0,13
H0OH12062,"TIBERI, PATRICK J",REP,OH,Incumbent,2008,2068837.69,1714047.72,467653.2,0.0,0.5478734031099814,1.0,9
H0PA04154,"HART, MELISSA A",REP,PA,Challenger,2008,1362709.71,1362532.36,8375.58,0.0,0.44142034514458883,0.0,4
H0PA11050,"KANJORSKI, PAUL E.",DEM,PA,Incumbent,2008,2517290.07,3153011.04,340023.47,0.0,0.5162734102211406,1.0,14
H0PA19053,"PLATTS, TODD R",REP,PA,Incumbent,2008,214289.84,192500.82,50578.38,0.0,0.6664595989585712,1.0,6
H0RI02139,"LANGEVIN, JAMES R",DEM,RI,Incumbent,2008,804926.32,679031.44,196382.9,4022.34,0.7002307345491836,1.0,10
H0SC01071,"BROWN, HENRY E JR.",REP,SC,Incumbent,2008,976851.84,1287313.53,461583.81,0.0,0.5193065382781628,1.0,5
H0TX04037,"HALL, RALPH MOODY",REP,TX,Incumbent,2008,1096582.05,939253.83,195015.96,10000.0,0.6879804750884473,1.0,17
H0TX07055,"CULBERSON, JOHN",REP,TX,Incumbent,2008,1747991.38,1757229.78,29300.35,0.0,0.597453312478349,1.0,9
H0UT02096,"MATHESON, JAMES",DEM,UT,Incumbent,2008,1789770.28,1389008.76,702495.73,0.0,0.6335060647383909,1.0,8
H0VA07042,"CANTOR, ERIC",REP,VA,Incumbent,2008,3990898.86,3823912.32,378078.96,0.0,0.6272033131276237,1.0,6
H0VA08040,"MORAN, JAMES P. JR.",DEM,VA,Incumbent,2008,1286999.15,1207949.47,488948.19,0.0,0.6794272951916075,1.0,12
H0WA02080,"LARSEN, RICK",DEM,WA,Incumbent,2008,1336441.92,1155695.85,265423.29,0.0,0.6239213469281166,1.0,10
H0WI06061,"PETRI, TOM",REP,WI,Incumbent,2008,769230.07,635893.56,831435.75,0.0,0.6370885305400501,1.0,18
H0WV02138,"CAPITO, SHELLEY MOORE",REP,WV,Incumbent,2008,2217693.52,2330541.82,49019.79,0.0,0.5706881926180137,1.0,7
H2AL01077,"BONNER, JO",REP,AL,Incumbent,2008,842275.45,736711.29,468459.25,0.0,0.9827072263921219,1.0,6
H2AL03032,"ROGERS, MICHAEL",REP,AL,Incumbent,2008,1480939.35,2056919.22,42017.75,35000.0,0.5403150083295472,1.0,9
H2AL06035,"BACHUS, SPENCER T.",REP,AL,Incumbent,2008,1460651.33,1414804.55,658401.75,0.0,0.9779450418991982,1.0,11
